Downloaded from wid.world on 03-04-2018 at 13:20:07
Percentile;Year;"sfiinc_z_KR
Fiscal income
Top 10% | share
Korea"
p90p100;1933;
p90p100;1934;
p90p100;1935;
p90p100;1936;
p90p100;1937;
p90p100;1938;
p90p100;1939;
p90p100;1940;
p90p100;1941;
p90p100;1942;
p90p100;1943;
p90p100;1944;
p90p100;1945;
p90p100;1946;
p90p100;1947;
p90p100;1948;
p90p100;1949;
p90p100;1950;
p90p100;1951;
p90p100;1952;
p90p100;1953;
p90p100;1954;
p90p100;1955;
p90p100;1956;
p90p100;1957;
p90p100;1958;
p90p100;1959;
p90p100;1960;
p90p100;1961;
p90p100;1962;
p90p100;1963;
p90p100;1964;
p90p100;1965;
p90p100;1966;
p90p100;1967;
p90p100;1968;
p90p100;1969;
p90p100;1970;
p90p100;1971;
p90p100;1972;
p90p100;1973;
p90p100;1974;
p90p100;1975;
p90p100;1976;
p90p100;1977;
p90p100;1978;
p90p100;1979;0.270311871032
p90p100;1980;0.287989381098
p90p100;1981;0.286307270517
p90p100;1982;0.296552391589
p90p100;1983;0.301842243254
p90p100;1984;0.291875670816
p90p100;1985;0.288434424163
p90p100;1986;
p90p100;1987;
p90p100;1988;
p90p100;1989;
p90p100;1990;
p90p100;1991;
p90p100;1992;
p90p100;1993;
p90p100;1994;
p90p100;1995;0.29197182321
p90p100;1996;0.326357094155
p90p100;1997;0.333741874933
p90p100;1998;0.31434264004
p90p100;1999;0.334496997632
p90p100;2000;0.353935592618
p90p100;2001;0.362522096379
p90p100;2002;0.380001900692
p90p100;2003;0.386906989311
p90p100;2004;0.39525768477
p90p100;2005;0.377798338457
p90p100;2006;0.419099420396
p90p100;2007;0.423915900544
p90p100;2008;0.428621968827
p90p100;2009;0.426010259273
p90p100;2010;0.432957086896
p90p100;2011;0.442228073339
p90p100;2012;0.448675979723
p99p100;1933;0.211315781292
p99p100;1934;0.201413661426
p99p100;1935;0.184404502514
p99p100;1936;0.180000831257
p99p100;1937;0.167657393372
p99p100;1938;0.177965076119
p99p100;1939;0.172139916124
p99p100;1940;0.170233306081
p99p100;1941;
p99p100;1942;
p99p100;1943;
p99p100;1944;
p99p100;1945;
p99p100;1946;
p99p100;1947;
p99p100;1948;
p99p100;1949;
p99p100;1950;
p99p100;1951;
p99p100;1952;
p99p100;1953;
p99p100;1954;
p99p100;1955;
p99p100;1956;
p99p100;1957;
p99p100;1958;
p99p100;1959;
p99p100;1960;
p99p100;1961;
p99p100;1962;
p99p100;1963;
p99p100;1964;
p99p100;1965;
p99p100;1966;
p99p100;1967;
p99p100;1968;
p99p100;1969;
p99p100;1970;
p99p100;1971;
p99p100;1972;
p99p100;1973;
p99p100;1974;
p99p100;1975;
p99p100;1976;
p99p100;1977;
p99p100;1978;
p99p100;1979;0.0716736936582
p99p100;1980;0.0747052083428
p99p100;1981;0.0714295952048
p99p100;1982;0.0726628612475
p99p100;1983;0.0745876780342
p99p100;1984;0.0734835776416
p99p100;1985;0.071576555152
p99p100;1986;
p99p100;1987;
p99p100;1988;
p99p100;1989;
p99p100;1990;
p99p100;1991;
p99p100;1992;
p99p100;1993;
p99p100;1994;
p99p100;1995;0.0687622384667
p99p100;1996;0.0726975352548
p99p100;1997;0.0749290974263
p99p100;1998;0.0658187549731
p99p100;1999;0.0754505390583
p99p100;2000;0.0818750940338
p99p100;2001;0.0855483679278
p99p100;2002;0.0916317664317
p99p100;2003;0.0922174675335
p99p100;2004;0.096386397707
p99p100;2005;0.0996331558011
p99p100;2006;0.107759302676
p99p100;2007;0.112831880645
p99p100;2008;0.11372404984
p99p100;2009;0.113328179239
p99p100;2010;0.117593586557
p99p100;2011;0.122461214321
p99p100;2012;0.12227040858
